user_id,day,day_of_week,time,latitude,longitude
86,1,5,00:01:28,31.293523,121.494843
311,1,5,00:04:14,31.195585250854492,121.44947052001952
311,1,5,00:04:35,31.195581436157227,121.44944000244141
37,1,5,00:04:53,31.292793273925781,121.49522399902344
278,1,5,00:04:54,31.301645278930664,121.50938415527344
37,1,5,00:04:58,31.292793273925781,121.49522399902344
278,1,5,00:05:02,31.303638458251953,121.50495910644533
211,1,5,00:05:22,31.291273600260418,121.50017795138888
211,1,5,00:05:24,31.293246,121.495721
303,1,5,00:05:25,31.297832489013672,121.50548553466795
111,1,5,00:06:37,31.188659396701389,121.59102620442708
437,1,5,00:08:12,31.298046112060547,121.50628662109376
437,1,5,00:08:14,31.300029754638672,121.50185394287109
464,1,5,00:08:26,31.289754774305557,121.50153998480904
386,1,5,00:10:00,31.191781997680664,121.59376525878906
386,1,5,00:10:00,31.193958282470703,121.5895538330078
137,1,5,00:11:53,31.292214999999999,121.496532
456,1,5,00:13:15,31.192483901977539,121.59072875976562
467,1,5,00:14:13,31.298110000000001,121.5063
467,1,5,00:14:16,31.30011,121.50190000000001
349,1,5,00:14:40,31.298193088107642,121.50629069010417
349,1,5,00:14:51,31.298369683159724,121.50612630208332
349,1,5,00:14:53,31.300357000000002,121.50169
349,1,5,00:14:56,31.300357000000002,121.50169
349,1,5,00:14:58,31.300357000000002,121.50169
349,1,5,00:15:00,31.300357000000002,121.50169
65,1,5,00:15:18,31.197123000000001,121.450101
65,1,5,00:15:22,31.19894,121.445424
65,1,5,00:15:26,31.19894,121.445424
65,1,5,00:15:44,31.19894,121.445424
302,1,5,00:16:13,31.301429578993055,121.49848307291668
302,1,5,00:16:15,31.303294000000001,121.494011
65,1,5,00:16:16,31.19894,121.445424
65,1,5,00:16:27,31.19894,121.445424
14,1,5,00:19:52,31.195414,121.44965000000001
430,1,5,00:23:28,31.190557479858398,121.59214782714844
430,1,5,00:23:29,31.192544937133789,121.58803558349609
300,1,5,00:23:36,31.29487419128418,121.49797058105467
430,1,5,00:23:36,31.192544937133789,121.58803558349609
300,1,5,00:23:39,31.292913436889648,121.50238800048828
430,1,5,00:23:48,31.190332412719727,121.59224700927734
179,1,5,00:24:44,31.191658020019531,121.59717559814452
179,1,5,00:24:59,31.193698883056641,121.59261322021484
179,1,5,00:25:01,31.193767547607425,121.5927276611328
179,1,5,00:25:04,31.193765640258789,121.5927276611328
179,1,5,00:25:21,31.193765640258789,121.5927276611328
341,1,5,00:27:31,31.300803999999999,121.5013
352,1,5,00:39:24,31.30062608506945,121.50821180555556
