user_id,day,day_of_week,time,latitude,longitude,POI_id
115,1,5,00:07:38,31.292279000000001,121.496999,18246730018217802566
253,1,5,07:50:08,31.299869999999999,121.496,5240099983980926385
120,1,5,08:56:52,31.19499397277832,121.44943237304688,15816538409797329025
120,1,5,08:57:31,31.19499397277832,121.44943237304688,8537452228210701179
120,1,5,08:58:18,31.19499397277832,121.44943237304688,3371105650313725896
120,1,5,08:58:42,31.19499397277832,121.44943237304688,6655511870058958765
408,1,5,09:39:03,31.19089138454861,121.59830512152776,9361323915712852422
445,1,5,09:39:20,31.298151041666667,121.50388292100696,17859527319950716538
15,1,5,09:42:58,31.190924207899304,121.59828721788196,7418233607399975825
168,1,5,09:54:20,31.301670074462891,121.50013732910156,3793984692706664883
351,1,5,10:04:35,31.292781829833984,121.49700927734376,8500069081767993521
380,1,5,11:09:17,31.195465223524305,121.44966091579862,8537452228210701179
226,1,5,12:16:12,31.303259000000001,121.492581,16998059090502984996
226,1,5,12:17:40,31.301293674045137,121.49705702039932,2724766603850828906
202,1,5,12:33:29,31.192477213541668,121.5911857096354,12998259658734492132
120,1,5,12:48:38,31.19499397277832,121.44942474365234,1008831836729404581
65,1,5,13:12:23,31.195816000000001,121.449406,15816538409797329025
17,1,5,13:45:08,31.228513,121.545658,14689032000447849690
36,1,5,14:22:39,31.295324325561523,121.5043487548828,7513376031712530861
450,1,5,16:20:03,31.18927463107639,121.59784342447917,10277135738446205825
442,1,5,22:05:17,31.299334000000002,121.50106,17171734113250167119
120,2,6,00:11:21,31.194990158081055,121.44940185546876,18080669775408390010
120,2,6,00:13:10,31.194990158081055,121.44940185546876,15816538409797329025
120,2,6,00:13:51,31.194990158081055,121.44940948486328,8537452228210701179
394,2,6,00:16:10,31.291262478298613,121.49954427083334,14409562391185796106
341,2,6,00:36:08,31.299854,121.49872999999999,507289631516512721
115,2,6,06:50:04,31.288564724392359,121.50640028211804,13915838822957329129
120,2,6,08:13:27,31.194986343383789,121.4494171142578,2974805774682535981
3,2,6,10:02:17,31.190141677856445,121.59180450439452,17757940622606626972
219,2,6,10:31:51,31.189276,121.59784000000001,7743715280336104384
245,2,6,11:15:36,31.204740524291992,121.45911407470705,691740076288254416
118,2,6,11:17:58,31.191148999999999,121.59802000000001,10610449229847131691
341,2,6,11:30:20,31.190301999999999,121.59684,8776253061744222445
253,2,6,11:32:04,31.299890000000001,121.496,14834248776574532388
140,2,6,11:56:54,31.299776000000001,121.50452300000001,2058244242708356702
435,2,6,14:00:33,31.242368706597222,121.55215006510416,12244833939506466993
435,2,6,14:01:26,31.242368706597222,121.55215006510416,5579159885251823037
435,2,6,14:02:48,31.242368706597222,121.55215006510416,10081876153512266852
163,2,6,14:11:39,31.290562000000001,121.50095,11836276988633524937
163,2,6,14:12:40,31.290562000000001,121.50095,6877491392067205225
354,2,6,15:22:28,31.297367999999999,121.504108,3671228709571469538
229,2,6,15:58:07,31.3006591796875,121.508544921875,11662242043755831328
431,2,6,16:33:01,31.29624213324653,121.50286458333332,3828384842875001376
226,2,6,17:05:48,31.305454915364582,121.49827229817708,10956645436626208198
15,2,6,17:12:00,31.192205403645833,121.59080593532984,11987496046073043881
